param_index,log_prob,snowline_rmse_m,snowline_mae_m,snowline_bias_m,snowline_n_years,snowline_passed,area_rmse_km2,area_mae_km2,area_bias_km2,area_n_checkpoints,area_passed,passed_both,MF,MF_grad,r_snow,r_ice,precip_grad,precip_corr,T0,internal_lapse
333,-667.0307061631399,91.54706964384097,68.94049587092188,30.35101221381864,22,False,,,,0,False,False,7.08281567509933,-0.003910442648096453,0.0016691993946435213,0.0033383987892870426,0.0006759587747068446,1.6628542684902616,0.0025047756543243775,-0.005
334,-667.0312051407369,95.81350912310805,71.97994236624612,31.08332473095627,22,False,,,,0,False,False,6.801600882115417,-0.0036648081742880804,0.001986577087369225,0.00397315417473845,0.0005572005757782943,1.7607662615488526,0.0021044130019026146,-0.005
335,-667.0315263545428,94.89547054789224,71.21974993355515,31.6199055185739,22,False,,,,0,False,False,6.9463786195969,-0.0037773091171065093,0.001881956931049147,0.003763913862098294,0.0005720493453020354,1.7570910594791254,0.0010423438722190525,-0.005
336,-667.0341628014583,91.51301192557865,68.82182623950317,29.57461853733695,22,False,,,,0,False,False,7.156878607359337,-0.003989285021643035,0.0015698493701347483,0.0031396987402694965,0.0006217754990574741,1.7076790355523876,0.006956498679421183,-0.005
337,-667.0343422547601,90.96023785299143,68.52102566406455,29.141061602782454,22,False,,,,0,False,False,7.164211651803484,-0.00400531148614676,0.001479269916475962,0.002958539832951924,0.0006332687021119604,1.690035606657509,0.0043108988450248995,-0.005
338,-667.0359098228166,92.25510753884163,69.38705449091998,28.55729440477562,22,False,,,,0,False,False,7.123211340000506,-0.004018428701870466,0.0017915477374507256,0.003583095474901451,0.0005521108125897329,1.7753639559139014,0.006064525860884194,-0.005
339,-667.0365528077525,93.9201261050685,70.60824766659059,32.20647147769606,22,False,,,,0,False,False,7.018363338226414,-0.0037650146919426934,0.0014652224753515387,0.0029304449507030774,0.0006459404035223432,1.680436743942467,0.00037913868745820256,-0.005
340,-667.0366534510199,91.73383487866971,68.98828767133219,29.504286133357166,22,False,,,,0,False,False,7.0216550711959504,-0.003808696510000163,0.0016562470988874176,0.003312494197774835,0.0007025445812731176,1.6506053029415642,0.004048748919674514,-0.005
341,-667.0375397343623,93.444990216443,70.27226645988368,31.603707270592363,22,False,,,,0,False,False,7.088807424796035,-0.0038629171849308497,0.001555459389755961,0.003110918779511922,0.0006154892677221895,1.7157251534631304,0.00176616980447973,-0.005
342,-667.0376851316984,94.6913536116137,71.06861708015977,30.526112105636127,22,False,,,,0,False,False,6.935877357991824,-0.0038452788543952574,0.0019292495666787682,0.0038584991333575364,0.0005250172042108212,1.7844000610865074,0.007306188920100862,-0.005
343,-667.0385330356487,92.70392044975802,69.64018298652098,30.97988594403041,22,False,,,,0,False,False,6.978230313425223,-0.003836283859999969,0.0017686603184718858,0.0035373206369437716,0.0006392435429196303,1.681917209355402,0.005565150655670674,-0.005
344,-667.0391689547622,92.8507821488324,69.76892677624146,30.432704536879484,22,False,,,,0,False,False,7.189413828543988,-0.003961389813209705,0.0014436509098727092,0.0028873018197454184,0.0005934496571489486,1.7399841016201665,0.0038342953335586474,-0.005
345,-667.0402685689869,91.10998008345979,68.60985170261706,29.11723222452207,22,False,,,,0,False,False,7.12757009625201,-0.003981953191474152,0.001542326029916803,0.003084652059833606,0.0006298446975208288,1.6920629684452946,0.004728078262992496,-0.005
346,-667.0403983857432,95.74947167003843,71.94310661264215,31.37318781869068,22,False,,,,0,False,False,6.949198143483538,-0.003821354529064946,0.0019159281413838856,0.0038318562827677712,0.0005071384270912982,1.811576515111882,0.0025370336365211988,-0.005
